estado,zona,codigo_postal,ciudad
Amazonas,Maroa,7101,Maroa
Amazonas,Otras Poblaciones,7101,Puerto Ayacucho
Amazonas,Puerto Ayacucho,7101,Puerto Ayacucho
Amazonas,Puerto Páez,7101,Puerto Páez
Amazonas,San Carlos de Río Negro,7101,San Carlos de Río Negro
Amazonas,San Fernando de Atabapo,7101,San Fernando de Atabapo
Amazonas,San Fernando de Guainia,7101,San Fernando de Guainia
Amazonas,San Juan de Manapiare,7101,San Juan de Manapiare
Amazonas,San Simón de Cocuy,7101,San Simón de Cocuy
Amazonas,Santa Rosa de Amanadona,7101,Santa Rosa de Amanadona
Anzoategui,Anaco,6003,Anaco
Anzoategui,Aragua de Barcelona,6002,Aragua de Barcelona
Anzoategui,Atapirire,6001,Atapirire
Anzoategui,Barbacoa,6001,Barbacoa
Anzoategui,Barcelona,6001,Barcelona
Anzoategui,Bergantín,6001,Barcelona
Anzoategui,Boca de Uchire,6005,Boca de Uchire
Anzoategui,Cachipo,6001,Cachipo
Anzoategui,Caigua,6001,Barcelona
Anzoategui,Cantaura,6007,Cantaura
Anzoategui,Clarines,6008,Clarines
Anzoategui,El Carito,6001,El Carito
Anzoategui,El Chaparro,2350,El Chaparro
Anzoategui,El Hatillo,6001,El Hatillo
Anzoategui,El Morro de Barcelona,6016,El Morro de Barcelona
Anzoategui,El Pao,6001,El Pao
Anzoategui,El Pilar,6001,El Pilar
Anzoategui,El Tigre,6050,El Tigre
Anzoategui,Guanape,6012,Guanape
Anzoategui,Guanta,6014,Guanta
Anzoategui,Guaribe de Cajigal,6001,Guaribe de Cajigal
Anzoategui,La Margarita,6002,La Margarita
Anzoategui,Lecherías,6016,Lecherías
Anzoategui,Los Altos de Santa Fe,6001,Los Altos de Santa Fe
Anzoategui,Los Pilones,6003,Los Pilones
Anzoategui,Mapire,6001,Mapire
Anzoategui,Modulo de Boyacá,6001,Modulo de Boyacá
Anzoategui,Modulo de Chuparin,6009,Modulo de Chuparin
Anzoategui,Mundo Nuevo,6001,Mundo Nuevo
Anzoategui,Naricual,6001,Barcelona
Anzoategui,Onoto,6020,Onoto
Anzoategui,Otras Poblaciones,6001,Barcelona
Anzoategui,Pariaguán,6052,Pariaguán
Anzoategui,Pertigalete,6014,Pertigalete
Anzoategui,Píritu,6022,Píritu
Anzoategui,Pozuelos,6022,Puerto La Cruz
Anzoategui,Puerto La Cruz,6023,Puerto La Cruz
Anzoategui,Puerto Píritu,6022,Puerto Píritu
Anzoategui,Sabana de Uchire,6001,Sabana de Uchire
Anzoategui,San Diego de Cabrutica,6001,San Diego de Cabrutica
Anzoategui,San Joaquín,6001,Anaco
Anzoategui,San José de Guanipa,6054,San José de Guanipa
Anzoategui,San Mateo,6048,San Mateo
Anzoategui,San Miguel,6001,San Miguel
Anzoategui,San Pablo,6001,San Pablo
Anzoategui,San Tomé,6055,San Tomé
Anzoategui,Santa Ana,6027,Santa Ana
Anzoategui,Santa Clara,6001,Santa Clara
Anzoategui,Santa Cruz del Orinoco,6001,Santa Cruz del Orinoco
Anzoategui,Santa Inés,6001,Santa Inés
Anzoategui,Santa Rosa,6001,Santa Rosa
